100,20
,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120
V108,37.48,77.41,85.15,46.17,48.66,88.41,70.72,99.30,90.02,66.41,41.98,62.01,62.43,13.34,72.12,63.56,90.08,98.86,44.41,36.77,92.14,29.97,84.20,32.02,51.66,85.38,49.19,69.03,31.24,54.12,84.72,94.92,51.40,51.42,10.00,37.66,18.38,27.02,65.51,21.59,65.86,13.34,48.84,63.25,39.22,62.63,63.95,48.84,39.05,35.34,42.95,78.23,58.52,49.58,61.03,14.14,93.62,35.51,83.24,34.79,40.26,60.22,39.00,41.87,67.07,53.60,78.87,82.86,75.43,16.12,58.80,60.07,15.00,70.72,90.70,39.62,87.46,33.94,15.52,38.21,65.03,95.26,66.49,87.93,84.48,41.63,87.66,89.01,99.76,52.47,96.57,89.56,38.60,78.23,45.18,68.88,16.49,96.14,80.36,91.68,86.49,59.93,61.68,31.95,73.43,23.85,92.44,56.57,0.00,77.23,89.00,90.05,104.85,80.06,52.70,52.20,73.66,22.36,22.09,41.77,38.59
V109,102.22,47.01,40.61,66.49,59.84,11.66,20.62,90.47,58.52,72.17,45.31,60.02,18.68,70.29,7.00,25.00,89.56,55.17,58.69,40.61,65.51,71.11,77.49,101.83,45.01,81.32,36.67,15.30,46.62,76.66,72.45,89.54,83.74,39.81,75.82,52.89,71.03,63.69,17.12,60.90,25.71,65.80,29.15,16.16,98.84,19.10,48.51,28.43,87.46,44.41,38.08,60.41,83.49,28.65,17.89,68.88,80.11,54.41,18.60,47.17,45.19,86.47,59.23,88.60,54.74,84.34,3.16,17.20,13.60,87.32,20.25,48.04,87.86,12.04,17.00,38.01,10.77,82.35,69.81,55.54,53.46,57.49,37.66,81.27,65.39,43.01,16.49,58.83,30.27,51.01,35.78,80.99,40.31,49.24,54.33,67.60,69.20,88.39,76.40,14.76,44.20,25.32,37.66,48.83,16.16,54.64,82.08,43.05,77.23,0.00,59.68,62.77,30.59,2.83,81.22,34.21,9.85,61.29,94.49,46.24,75.27
V110,90.87,14.42,19.92,47.13,41.77,65.92,77.34,32.39,2.24,33.42,48.84,109.29,48.84,76.06,63.60,40.46,35.51,15.81,45.40,68.15,5.83,63.35,24.35,95.52,90.97,28.16,80.16,70.94,73.05,48.02,18.03,33.00,57.14,40.80,81.22,89.96,72.34,93.96,47.38,86.59,79.91,76.06,66.57,51.62,84.53,70.01,100.26,62.43,70.68,58.94,53.14,12.53,51.22,67.12,52.40,75.03,22.09,90.08,43.08,57.07,50.99,53.15,97.17,69.77,22.20,56.04,57.31,44.38,72.42,88.46,66.60,29.15,90.26,49.20,52.89,68.45,58.87,69.29,74.11,93.11,24.08,9.22,27.78,26.48,10.30,81.41,49.34,1.00,47.01,97.10,35.01,25.18,72.92,12.53,96.18,27.20,73.11,31.06,25.94,60.73,16.49,43.60,89.38,60.02,43.83,78.59,25.00,33.96,89.00,59.68,0.00,3.16,57.01,60.42,53.54,43.86,68.01,87.80,93.62,48.66,59.46
V111,90.62,17.03,23.09,47.30,42.30,69.08,80.28,29.27,5.00,32.45,50.45,111.83,51.62,77.00,66.61,43.19,32.76,17.89,46.10,70.26,2.83,63.79,21.93,95.51,93.48,25.63,82.66,73.88,75.03,47.41,15.65,30.02,56.44,42.72,82.05,92.14,73.11,95.82,50.25,88.32,82.76,77.23,69.07,54.45,84.17,72.84,102.94,64.90,70.38,60.73,55.15,12.37,50.22,69.63,55.17,76.01,19.03,92.20,46.24,58.69,52.63,52.01,99.32,69.35,23.00,55.23,60.42,47.54,75.45,88.96,69.35,30.59,90.80,52.20,56.04,70.66,62.03,69.26,75.01,95.27,25.02,11.18,30.23,23.77,8.49,83.73,52.50,4.12,50.04,99.57,38.00,22.36,75.13,15.00,98.49,26.42,74.01,28.02,23.85,63.89,19.65,46.23,92.10,61.61,46.87,80.36,22.02,35.74,90.05,62.77,3.16,0.00,60.03,63.53,52.84,46.07,71.03,89.56,93.94,50.22,59.48
V112,124.74,50.22,38.33,83.53,76.32,24.33,49.04,89.20,55.04,81.91,67.18,89.14,42.44,96.05,37.48,43.14,92.14,45.12,76.84,69.32,62.13,92.85,80.31,125.87,75.33,84.29,67.27,45.10,75.58,91.24,74.17,90.01,99.76,58.90,101.83,83.43,95.59,93.92,39.41,90.47,55.00,92.42,58.87,41.68,120.25,49.65,77.23,57.27,107.42,70.00,62.63,63.79,97.17,58.52,43.91,94.64,79.06,84.90,22.67,71.70,67.90,99.92,89.82,107.90,63.57,99.73,27.89,22.63,41.05,112.81,50.70,60.83,113.70,34.13,14.32,67.12,20.10,103.23,95.13,86.12,63.32,50.49,48.76,83.10,66.12,73.50,17.20,56.01,10.00,81.15,22.09,82.02,70.01,51.97,84.85,75.96,94.37,88.05,80.75,17.03,41.11,46.01,67.01,74.03,31.89,83.63,82.01,58.52,104.85,30.59,57.01,60.03,0.00,28.28,96.60,55.15,39.05,91.00,119.75,67.90,94.63
V113,104.96,48.10,41.05,68.88,62.17,8.94,21.84,91.55,59.17,74.06,47.93,61.66,21.19,73.11,9.22,27.07,90.96,55.17,61.13,43.42,66.24,73.79,78.85,104.62,47.10,82.71,39.05,17.03,49.41,78.92,73.68,90.76,86.12,42.20,78.64,55.36,73.82,66.31,19.42,63.63,27.29,68.62,31.91,18.79,101.53,21.38,50.01,31.24,90.08,47.20,40.82,61.68,85.71,31.38,20.59,71.70,81.15,56.92,18.38,49.93,47.85,88.68,61.61,91.18,56.44,86.68,3.16,16.97,14.32,90.14,22.85,50.00,90.69,14.04,15.13,40.80,8.25,85.00,72.62,57.97,55.23,57.80,39.32,82.57,66.48,45.54,15.23,59.54,28.64,53.01,34.99,82.22,43.05,50.33,56.57,69.35,72.01,89.54,77.88,12.08,44.65,27.66,39.32,51.61,17.46,57.43,83.22,45.18,80.06,2.83,60.42,63.53,28.28,0.00,83.55,36.69,11.18,64.01,97.31,48.85,77.83
V114,38.83,49.58,61.85,15.00,21.38,92.20,88.14,50.09,55.47,20.62,38.12,101.52,62.65,40.46,80.31,56.75,39.46,68.41,23.00,57.87,53.67,23.35,37.48,45.10,84.86,37.05,76.24,83.01,58.18,5.66,40.80,45.18,3.61,41.44,42.72,75.66,34.83,71.84,64.13,63.41,86.70,44.55,65.92,65.49,32.02,78.16,97.74,62.51,19.03,45.61,47.27,41.05,5.83,66.91,64.28,40.36,47.52,74.43,74.85,41.48,39.32,7.81,80.99,17.26,34.71,3.16,80.81,75.39,88.05,43.97,73.17,35.78,46.17,69.63,85.80,60.44,87.36,20.62,38.29,78.03,34.21,62.43,47.85,40.11,44.72,72.24,81.71,54.08,87.82,89.05,78.82,42.19,63.57,48.80,84.12,26.42,37.54,47.04,33.54,91.09,60.88,55.90,89.99,42.38,68.01,57.98,45.18,38.90,52.70,81.22,53.54,52.84,96.60,83.55,0.00,47.27,84.15,64.82,46.53,37.12,14.21
V115,69.81,29.73,34.01,32.39,26.02,45.54,42.20,67.27,44.01,41.44,12.04,66.60,15.52,41.68,33.06,12.04,62.97,49.25,24.52,24.35,48.76,38.01,52.01,70.71,48.17,55.22,37.48,36.50,29.61,43.01,48.80,64.82,49.65,6.08,47.51,46.10,40.61,50.80,17.46,44.10,42.15,39.00,24.08,18.25,65.73,32.57,58.90,19.85,53.67,17.26,10.00,37.64,50.00,24.84,17.03,40.31,58.00,46.24,32.56,17.46,12.81,53.00,53.31,54.63,27.66,50.36,34.18,32.53,41.05,58.01,27.86,18.60,59.08,23.26,42.01,24.60,41.59,48.88,40.50,49.24,25.61,47.30,16.49,56.22,44.20,37.74,38.29,43.46,48.60,54.04,44.38,56.73,29.07,31.38,52.48,38.47,39.66,64.54,49.65,45.65,36.06,9.43,48.83,20.25,23.43,36.06,58.73,12.21,52.20,34.21,43.86,46.07,55.15,36.69,47.27,0.00,37.00,45.18,64.82,12.81,41.23
V116,101.55,54.71,49.52,69.18,63.01,16.16,10.77,97.95,67.01,77.28,46.69,50.49,22.36,68.26,4.47,30.36,96.21,64.54,61.20,37.01,73.82,71.47,84.31,100.34,36.35,88.02,29.15,6.08,42.45,80.01,79.62,96.66,86.37,43.01,73.50,45.69,69.77,57.31,22.14,55.61,16.12,63.25,24.84,19.24,98.79,11.66,38.83,25.55,88.32,43.46,38.33,67.54,87.00,24.08,20.02,66.89,87.71,47.42,28.30,46.82,46.10,90.00,51.55,89.74,60.73,87.21,13.00,26.93,4.47,85.15,14.87,53.15,85.45,18.87,26.31,34.06,19.00,82.86,68.10,48.10,59.20,66.48,44.01,88.24,72.95,36.24,26.25,67.20,39.81,42.11,45.62,88.14,35.38,56.94,46.10,73.25,67.60,95.71,82.87,22.20,53.08,29.43,28.16,47.93,24.21,50.21,89.44,47.52,73.66,9.85,68.01,71.03,39.05,11.18,84.15,37.00,0.00,55.80,92.36,47.68,76.69
V117,59.03,74.33,79.06,53.81,53.25,71.56,50.93,104.96,88.29,73.01,39.22,40.31,50.22,26.57,55.23,54.15,97.42,94.43,48.83,22.36,92.05,41.88,89.19,54.23,29.41,91.27,28.43,50.45,16.12,64.38,88.10,101.24,64.64,47.07,28.28,15.30,31.78,7.07,53.37,1.41,45.45,21.02,32.20,50.00,59.68,44.20,41.59,33.84,56.08,28.86,35.23,79.12,70.29,32.65,47.80,26.00,97.49,13.15,71.31,31.02,37.00,72.62,17.46,58.69,67.78,66.61,63.51,70.60,56.73,38.05,41.34,59.14,37.22,57.57,76.69,24.04,72.01,50.16,28.23,16.00,65.55,92.23,61.52,93.30,85.80,20.62,74.33,87.56,87.64,30.15,86.98,94.51,21.02,75.71,23.00,73.57,28.64,101.87,85.76,76.06,81.22,50.16,39.81,28.23,61.61,9.22,97.13,53.85,22.36,61.29,87.80,89.56,91.00,64.01,64.82,45.18,55.80,0.00,44.41,39.56,51.04
V118,17.00,84.50,94.37,46.69,51.92,106.04,90.79,96.52,95.08,65.01,53.01,84.01,77.78,24.21,90.21,76.84,85.99,105.95,48.70,55.57,95.52,30.36,83.01,10.05,73.55,83.15,70.23,88.32,50.99,50.09,85.15,91.66,43.93,62.13,18.87,59.68,24.21,49.01,80.62,43.57,86.41,29.15,67.74,79.25,21.21,81.99,85.99,66.85,28.16,50.25,57.28,81.58,51.97,68.60,77.16,25.61,93.00,57.56,97.31,48.10,52.01,52.63,61.03,30.68,71.57,46.10,95.67,97.19,94.67,7.21,77.70,66.85,7.28,86.27,106.10,58.67,104.06,26.08,24.76,60.30,69.92,101.24,76.06,86.09,86.98,62.94,102.65,93.86,113.41,74.55,108.23,88.05,58.60,84.76,67.27,69.26,25.46,93.43,79.01,108.30,94.94,73.76,83.24,45.97,87.86,44.60,91.05,65.30,22.09,94.49,93.62,93.94,119.75,97.31,46.53,64.82,92.36,44.41,0.00,52.43,35.06
V119,57.01,36.00,43.42,22.20,17.46,57.78,51.04,66.40,49.37,36.40,1.00,68.41,27.73,30.08,44.15,24.76,60.11,57.22,14.32,23.43,52.63,25.24,50.61,58.00,50.48,53.15,40.71,46.04,26.40,33.73,48.88,63.13,39.00,9.85,35.85,44.69,28.30,46.10,30.02,38.28,49.65,28.44,29.12,30.08,53.00,41.05,62.65,25.50,41.23,11.40,10.20,39.56,40.79,30.08,28.46,28.79,58.31,44.20,45.25,8.54,2.83,43.74,51.40,42.38,28.23,40.05,46.52,45.28,51.35,45.79,36.06,19.65,47.01,35.85,54.82,25.24,54.20,36.24,28.64,47.63,26.00,54.01,24.74,54.82,46.24,38.42,51.09,48.51,61.07,55.61,55.95,55.80,29.21,37.05,52.33,35.38,27.73,63.41,47.51,58.31,44.72,22.20,53.85,11.40,36.24,30.46,58.25,15.00,41.77,46.24,48.66,50.22,67.90,48.85,37.12,12.81,47.68,39.56,52.43,0.00,29.12
V120,31.91,52.15,63.41,12.53,19.21,86.73,79.23,62.17,61.10,30.02,30.08,88.77,56.65,26.25,73.25,52.35,52.20,72.90,17.80,46.53,60.88,9.22,48.09,36.06,72.80,48.51,64.94,74.67,45.88,15.81,50.09,57.49,13.60,36.24,28.65,62.65,20.62,58.01,58.69,49.65,77.00,30.48,56.00,59.14,26.25,69.26,85.87,53.08,12.81,35.01,38.47,47.13,20.00,57.00,57.57,26.17,58.03,61.27,72.11,31.00,30.59,21.93,67.60,13.42,38.01,15.62,75.39,72.40,80.23,31.26,64.28,35.47,33.38,64.47,82.49,49.37,82.76,9.85,24.08,64.85,36.72,67.62,46.69,51.35,52.17,60.17,78.55,59.81,86.68,76.55,79.21,53.24,51.97,51.97,71.18,34.23,23.35,59.03,44.10,86.76,63.25,50.57,78.92,31.14,64.01,44.72,56.22,36.24,38.59,75.27,59.46,59.48,94.63,77.83,14.21,41.23,76.69,51.04,35.06,29.12,0.00
